TimeNow;TimecodeSession;TimecodeTotal;TimecodeRecLength;TimecodeSequence;StartTimeTicks;MarkerColor;REF_MarkerName
5/12/2017 10:38:53 AM;00:23:13.8250000;00:23:13.8777830;00:23:13.8777830;00:23:13.8777837;13938705632;255,255,255;undefined marker
5/12/2017 10:38:53 AM;00:23:13.8560000;00:23:13.9090893;00:23:13.9090893;00:23:13.9090900;13939038965;240,240,240;undefined marker
5/12/2017 10:38:54 AM;00:23:14.5730000;00:23:14.6258959;00:23:14.6258959;00:23:14.6258965;13946372291;174,174,174;fpa4
5/12/2017 10:39:06 AM;00:23:26.8720000;00:23:26.9254941;00:23:26.9254941;00:23:26.9254948;14069372168;240,240,240;undefined marker
5/12/2017 10:39:25 AM;00:23:45.9880000;00:23:46.0417592;00:23:46.0417592;00:23:46.0417595;14260371977;173,173,173;fpi4
5/12/2017 10:39:37 AM;00:23:58.3060000;00:23:58.3606557;00:23:58.3606557;00:23:58.3606560;14383705187;240,240,240;undefined marker
5/12/2017 10:39:38 AM;00:23:59.0700000;00:23:59.1243314;00:23:59.1243314;00:23:59.1243320;14391371846;172,172,172;fpa5
5/12/2017 10:39:47 AM;00:24:07.8860000;00:24:07.9408810;00:24:07.9408810;00:24:07.9408817;14479371758;240,240,240;undefined marker
5/12/2017 10:41:33 AM;00:25:53.4620000;00:25:53.5212962;00:25:53.5212962;00:25:53.5212965;15535370702;171,171,171;fpi5
5/12/2017 10:41:45 AM;00:26:05.7640000;00:26:05.8236567;00:26:05.8236567;00:26:05.8236573;15658370579;240,240,240;undefined marker
5/12/2017 10:43:52 AM;00:28:13.1700000;00:28:13.2339524;00:28:13.2339527;00:28:13.2339530;16932369305;170,170,170;fpa6
5/12/2017 10:44:00 AM;00:28:21.4030000;00:28:21.4673794;00:28:21.4673794;00:28:21.4673798;17014702556;240,240,240;undefined marker
5/12/2017 10:44:27 AM;00:28:47.5030000;00:28:47.5686656;00:28:47.5686656;00:28:47.5686662;17275702295;255,255,255;undefined marker
5/12/2017 10:44:27 AM;00:28:47.5510000;00:28:47.6164477;00:28:47.6164477;00:28:47.6164480;17276368961;169,169,169;fpi6
5/12/2017 10:44:39 AM;00:28:59.8670000;00:28:59.9327071;00:28:59.9327071;00:28:59.9327074;17399368838;240,240,240;undefined marker
5/12/2017 10:44:40 AM;00:29:00.5690000;00:29:00.6347146;00:29:00.6347149;00:29:00.6347152;17406368831;255,255,255;undefined marker
5/12/2017 10:44:40 AM;00:29:00.6170000;00:29:00.6826644;00:29:00.6826647;00:29:00.6826650;17407035497;168,168,168;fpa7
5/12/2017 10:44:46 AM;00:29:06.9660000;00:29:07.0323555;00:29:07.0323555;00:29:07.0323561;17470368767;240,240,240;undefined marker
5/12/2017 10:45:13 AM;00:29:33.4310000;00:29:33.4982909;00:29:33.4982909;00:29:33.4982912;17735035169;167,167,167;fpi7
5/12/2017 10:45:25 AM;00:29:45.7330000;00:29:45.8009633;00:29:45.8009636;00:29:45.8009640;17858035046;240,240,240;undefined marker
5/12/2017 10:45:26 AM;00:29:46.4800000;00:29:46.5481754;00:29:46.5481754;00:29:46.5481757;17865701705;166,166,166;fpa8
5/12/2017 10:45:35 AM;00:29:55.7130000;00:29:55.7810427;00:29:55.7810427;00:29:55.7810434;17957701613;240,240,240;undefined marker
5/12/2017 10:46:16 AM;00:30:36.5100000;00:30:36.5798305;00:30:36.5798305;00:30:36.5798308;18365701205;165,165,165;fpi8
5/12/2017 10:46:28 AM;00:30:48.8430000;00:30:48.9128867;00:30:48.9128867;00:30:48.9128870;18489367748;240,240,240;undefined marker
5/12/2017 10:46:29 AM;00:30:49.5760000;00:30:49.6460603;00:30:49.6460603;00:30:49.6460606;18496701074;164,164,164;fpa9
5/12/2017 10:47:05 AM;00:31:25.8900000;00:31:25.9615808;00:31:25.9615811;00:31:25.9615815;18859700711;240,240,240;undefined marker
5/12/2017 10:47:05 AM;00:31:26.0400000;00:31:26.1119496;00:31:26.1119499;00:31:26.1119502;18861367376;163,163,163;fpi9
5/12/2017 10:47:17 AM;00:31:38.3900000;00:31:38.4614573;00:31:38.4614576;00:31:38.4614579;18984700586;240,240,240;undefined marker
5/12/2017 10:47:18 AM;00:31:39.1230000;00:31:39.1947650;00:31:39.1947650;00:31:39.1947653;18992033912;162,162,162;fpa10
5/12/2017 10:47:22 AM;00:31:43.1560000;00:31:43.2281740;00:31:43.2281740;00:31:43.2281743;19032367205;240,240,240;undefined marker
5/12/2017 10:47:44 AM;00:32:04.5240000;00:32:04.5965652;00:32:04.5965652;00:32:04.5965655;19246033658;255,255,255;undefined marker
5/12/2017 10:47:44 AM;00:32:04.5540000;00:32:04.6273790;00:32:04.6273790;00:32:04.6273797;19246366991;161,161,161;fpi10
5/12/2017 10:47:56 AM;00:32:16.8870000;00:32:16.9603610;00:32:16.9603610;00:32:16.9603616;19369700201;240,240,240;undefined marker
5/12/2017 10:47:57 AM;00:32:17.6200000;00:32:17.6935320;00:32:17.6935320;00:32:17.6935324;19377033527;160,160,160;fpa11
5/12/2017 10:48:07 AM;00:32:27.8860000;00:32:27.9601671;00:32:27.9601674;00:32:27.9601677;19479700091;240,240,240;undefined marker
5/12/2017 10:48:24 AM;00:32:45.3520000;00:32:45.4262557;00:32:45.4262557;00:32:45.4262560;19654366583;159,159,159;fpi11
5/12/2017 10:48:37 AM;00:32:57.6530000;00:32:57.7276975;00:32:57.7276978;00:32:57.7276981;19777366460;255,255,255;undefined marker
5/12/2017 10:48:37 AM;00:32:57.6840000;00:32:57.7592467;00:32:57.7592467;00:32:57.7592473;19777699793;240,240,240;undefined marker
5/12/2017 10:48:37 AM;00:32:58.4010000;00:32:58.4757463;00:32:58.4757463;00:32:58.4757466;19785033119;158,158,158;fpa12
5/12/2017 10:48:46 AM;00:33:06.8510000;00:33:06.9260365;00:33:06.9260365;00:33:06.9260368;19869366368;240,240,240;undefined marker
5/12/2017 10:49:03 AM;00:33:23.4330000;00:33:23.5085272;00:33:23.5085272;00:33:23.5085278;20035032869;157,157,157;fpi12
5/12/2017 10:49:15 AM;00:33:35.7180000;00:33:35.7941951;00:33:35.7941951;00:33:35.7941954;20158032746;240,240,240;undefined marker
5/12/2017 10:49:58 AM;00:34:19.3120000;00:34:19.3902266;00:34:19.3902266;00:34:19.3902273;20594032310;156,156,156;fpa13
